Day,TotalSleepHours,Naps,AverageNapMinutes,ReactionTimeMs,Mood_1_10,MemoryRecallPercent,ProductivityScore_100,CaffeineMg,SubjectiveFatigue_1_10
1,7.6,0,0,246,7.9,96,91,0,2
2,7.7,0,0,244,8.0,97,92,0,2
3,7.5,0,0,245,7.8,95,90,0,3
4,7.6,0,0,243,8.0,96,91,0,2
5,7.8,0,0,242,8.1,97,92,0,2
6,7.7,0,0,241,8.0,97,93,0,2
7,7.9,0,0,240,8.2,97,94,0,1
8,7.8,0,0,239,8.2,98,94,0,1
9,7.7,0,0,241,8.1,97,93,0,2
10,7.6,0,0,242,8.0,96,92,0,2
11,7.8,0,0,240,8.2,97,94,0,1
12,7.9,0,0,238,8.3,98,95,0,1
13,8.0,0,0,237,8.4,98,95,0,1
14,8.1,0,0,236,8.4,98,96,0,1
15,8.0,0,0,237,8.3,98,95,0,1
16,7.9,0,0,238,8.3,97,95,0,1
17,7.8,0,0,239,8.2,97,94,0,1
18,7.7,0,0,240,8.1,97,93,0,2
19,7.6,0,0,241,8.0,96,92,0,2
20,7.7,0,0,240,8.1,97,93,0,2
21,7.8,0,0,239,8.2,97,94,0,1
22,7.9,0,0,238,8.3,98,95,0,1
23,8.0,0,0,237,8.4,98,95,0,1
24,8.1,0,0,236,8.5,98,96,0,1
25,8.2,0,0,235,8.5,98,96,0,1
26,8.3,0,0,234,8.6,99,97,0,1
27,8.2,0,0,235,8.6,99,97,0,1
28,8.4,0,0,233,8.7,99,98,0,1
